2000,0,99.00,1116724
2000,1,1.00,11280
2250,0,97.71,1432789
2250,1,2.29,33643
2500,0,96.36,1632212
2500,1,3.64,61622
2750,0,94.69,1936297
2750,1,5.31,108676
3000,0,93.08,2116384
3000,1,6.92,157335
3250,0,90.79,1979702
3250,1,9.21,200785
3500,0,89.03,2106699
3500,1,10.97,259552
3750,0,86.78,2309450
3750,1,13.22,351865
4000,0,84.93,2429254
4000,1,15.07,430956
4250,0,82.54,2603166
4250,1,17.46,550620
4500,0,80.61,2698391
4500,1,19.39,649093
4750,0,78.19,2838396
4750,1,21.81,791780
5000,0,76.33,2911156
5000,1,23.67,902909
5250,0,74.05,3013907
5250,1,25.95,1056031
5500,0,72.28,3065181
5500,1,27.72,1175605
5750,0,70.14,3142056
5750,1,29.86,1337665
6000,0,68.18,3155020
6000,1,31.82,1472151
6250,0,66.43,2940373
6250,1,33.57,1486178
6500,0,64.60,2916069
6500,1,35.40,1598045
6750,0,62.36,2912716
6750,1,37.64,1758294
7000,0,60.61,2896441
7000,1,39.39,1882343
7250,0,58.58,2890611
7250,1,41.42,2044211
7500,0,56.99,2872951
7500,1,43.01,2168479
7750,0,55.13,2863413
7750,1,44.87,2330800
8000,0,53.68,2839424
8000,1,46.32,2450407
8250,0,51.94,2822949
8250,1,48.06,2612097
8500,0,50.58,2794609
8500,1,49.42,2730116
8750,0,49.04,2776716
8750,1,50.96,2885481
9000,0,47.81,2748029
9000,1,52.19,2999895
9250,0,47.08,2591992
9250,1,52.92,2913745
9500,0,46.06,2559435
9500,1,53.94,2997684
9750,0,44.87,2529523
9750,1,55.13,3107362
10000,0,43.86,2496156
10000,1,56.14,3195057
10250,0,42.71,2467516
10250,1,57.29,3310470
10500,0,41.74,2436272
10500,1,58.26,3400873
10750,0,40.66,2407790
10750,1,59.34,3513585
11000,0,39.75,2376814
11000,1,60.25,3602072
11250,0,38.72,2347699
11250,1,61.28,3714917
11500,0,37.87,2317333
11500,1,62.13,3801221
11750,0,36.95,2289022
11750,1,63.05,3906621
12000,0,36.69,2293774
12000,1,62.83,3928035
12000,2,0.47,29655
13500,0,36.28,2241159
13500,1,62.63,3868477
13500,2,1.08,66931
15000,0,35.30,2277552
15000,1,63.33,4086351
15000,2,1.00,64200
15000,3,0.37,24018
16500,0,35.30,2277448
16500,1,63.13,4073022
16500,2,0.92,59070
16500,3,0.66,42581
18000,0,35.30,2277284
18000,1,62.81,4052896
18000,2,1.05,67834
18000,3,0.84,54107
19500,0,35.29,2277092
19500,1,62.52,4034172
19500,2,1.15,73970
19500,3,1.04,66887
21000,0,35.29,2276895
21000,1,62.28,4018089
21000,2,1.16,74896
21000,3,1.27,82241
22500,0,35.29,2276682
22500,1,62.02,4001337
22500,2,1.20,77272
22500,3,1.50,96830
24000,0,35.28,2276398
24000,1,61.75,3984109
24000,2,1.25,80889
24000,3,1.72,110725
25500,0,35.28,2276031
25500,1,61.48,3967013
25500,2,1.31,84564
25500,3,1.93,124513
250,0,99.00,137378
250,1,1.00,1388
250,0,99.00,137378
250,1,1.00,1388
250,3,100.00,138766
500,3,100.00,138766
750,3,100.00,185311
1000,3,100.00,274229
1250,3,100.00,472363
1500,3,100.00,644437
1750,3,100.00,941372
2000,3,100.00,1155458
2250,3,100.00,1507328
2500,3,100.00,1747461
2750,3,100.00,2111085
3000,3,100.00,2346141
3250,3,100.00,2274207
3500,3,100.00,2474476
3750,3,100.00,2782718
4000,3,100.00,2985169
4250,3,100.00,3279376
4500,3,100.00,3471892
4750,3,100.00,3749678
5000,3,100.00,3928915
5250,3,100.00,4178189
5500,3,100.00,4342348
5750,3,100.00,4570756
6000,3,100.00,4712377
6250,3,100.00,4392352
6500,3,100.00,4496464
6750,3,100.00,4666137
7000,3,100.00,4776759
7250,3,100.00,4932719
7500,3,100.00,5037363
7750,3,100.00,5183985
8000,3,100.00,5274660
8250,3,100.00,5410382
8500,3,100.00,5493902
8750,3,100.00,5621571
9000,3,100.00,5700085
9250,3,100.00,5339493
9500,3,100.00,5400095
9750,3,100.00,5486349
10000,3,100.00,5540828
10250,3,100.00,5625922
10500,3,100.00,5681724
10750,3,100.00,5760338
