2000,0,99.00,878603
2000,1,1.00,8875
2250,0,97.62,1112521
2250,1,2.38,27108
2500,0,96.18,1258142
2500,1,3.82,49997
2750,0,94.38,1478668
2750,1,5.62,88035
3000,0,92.76,1608779
3000,1,7.24,125599
3250,0,91.28,1543512
3250,1,8.72,147377
3500,0,89.66,1636069
3500,1,10.34,188628
3750,0,87.56,1787745
3750,1,12.44,254005
4000,0,85.82,1878887
4000,1,14.18,310334
4250,0,83.60,2011951
4250,1,16.40,394716
4500,0,81.80,2085061
4500,1,18.20,463920
4750,0,79.59,2192365
4750,1,20.41,562267
5000,0,77.85,2248544
5000,1,22.15,639785
5250,0,75.75,2327109
5250,1,24.25,745139
5500,0,74.07,2366781
5500,1,25.93,828660
5750,0,72.08,2426770
5750,1,27.92,940212
6000,0,71.23,2471670
6000,1,27.28,946763
6000,2,1.49,51733
6250,0,71.84,2361445
6250,1,26.01,855053
6250,2,1.03,33774
6250,3,1.13,37025
6500,0,71.32,2381642
6500,1,25.40,848093
6500,2,1.43,47761
6500,3,1.86,61971
6750,0,70.45,2424891
6750,1,25.05,862270
6750,2,1.59,54709
6750,3,2.90,99893
7000,0,69.87,2456472
7000,1,24.50,861201
7000,2,1.85,64987
7000,3,3.79,133124
7250,0,69.06,2502041
7250,1,23.98,868943
7250,2,2.07,74900
7250,3,4.89,177275
7500,0,68.51,2532992
7500,1,23.48,868174
7500,2,2.10,77505
7500,3,5.91,218642
7750,0,67.71,2574897
7750,1,22.98,873826
7750,2,2.31,87920
7750,3,7.00,266141
8000,0,67.16,2598469
8000,1,22.50,870713
8000,2,2.30,89120
8000,3,8.03,310831
8250,0,66.35,2633274
8250,1,22.04,874823
8250,2,2.50,99203
8250,3,9.11,361354
8500,0,65.79,2650990
8500,1,21.62,870988
8500,2,2.51,101101
8500,3,10.08,406362
8750,0,64.98,2680105
8750,1,21.25,876597
8750,2,2.68,110569
8750,3,11.09,457307
9000,0,64.42,2695011
9000,1,20.87,873134
9000,2,2.68,111934
9000,3,12.03,503168
9250,0,65.07,2568284
9250,1,20.12,794215
9250,2,2.60,102748
9250,3,12.20,481587
9500,0,64.61,2571218
9500,1,19.79,787380
9500,2,2.60,103332
9500,3,13.01,517572
9750,0,63.93,2576196
9750,1,19.53,786965
9750,2,2.60,104963
9750,3,13.93,561283
10000,0,63.34,2575958
10000,1,19.31,785323
10000,2,2.62,106702
10000,3,14.73,598868
10250,0,62.60,2584353
10250,1,19.04,786049
10250,2,2.70,111586
10250,3,15.66,646382
10500,0,62.03,2587494
10500,1,18.79,783903
10500,2,2.70,112509
10500,3,16.48,687236
