1000,3,100.00,138767
1750,3,100.00,138767
2500,3,100.00,138767
3250,3,100.00,138767
1000,3,100.00,265631
1750,3,100.00,862948
2500,3,100.00,1562073
3250,3,100.00,1991877
1000,0,98.00,260811
1000,1,2.00,5323
1750,0,94.73,802331
1750,1,5.27,44678
2500,0,91.51,1403499
2500,1,8.49,130260
3250,0,87.38,1691440
3250,1,12.62,244270
4000,0,83.54,2130489
4000,1,16.46,419847
4750,0,79.19,2554996
4750,1,20.81,671498
5500,0,75.24,2818398
5500,1,24.76,927579
6000,0,73.55,2990361
6000,1,24.96,1014822
6000,2,1.49,60635
6750,0,72.00,2883573
6750,1,25.39,1016952
6750,2,1.68,67140
6750,3,0.93,37342
7500,0,70.63,3024025
7500,1,25.64,1097641
7500,2,1.99,85107
7500,3,1.74,74490
8250,0,69.46,3167575
8250,1,25.77,1175213
8250,2,2.17,99085
8250,3,2.60,118656
